DEPTH,CALI,DRHO,DT,DTS,GR,KTIM,NPHI,PPC1_CALI_NORM,RD,RHOB,RM,RS,RT,RXO,TVDMSL,CARB_FLAG,COAL_FLAG,KLOGH,PHIT,SAND_FLAG,VSH,FM. LABEL
1892.3508,,,133.034,,163.4759,,,12.239,1.7355,,1.5018,1.4094,1.5766,,1861.2841,,,,,0.0,0.6956,Draupne
1892.5032,,,143.3587,,169.1015,,,12.2415,1.6592,,1.6291,1.6041,1.6848,,1861.4365,,,,,0.0,0.7425,Draupne
1892.6556,,,138.2003,,192.5121,,,12.2484,1.6274,,1.3411,1.3574,1.3609,,1861.5889,,,,,0.0,0.9376,Draupne
1892.808,,,132.8561,,221.3074,,,12.2499,1.5528,,1.215,1.2409,1.2092,,1861.7413,,,,,0.0,1.1776,Draupne
1892.9604,,,130.3214,,240.5081,,,12.245,1.495,,1.1425,1.1469,1.1238,,1861.8937,,,,,0.0,1.3376,Draupne
1893.1128,,,129.4953,,244.8246,,,12.2447,1.4652,,1.0658,1.0563,1.0514,,1862.0461,,,,,0.0,1.3735,Draupne
1893.2652,,,129.4708,,241.7963,,,12.2448,1.4335,,1.0491,1.0369,1.0538,,1862.1985,,,,,0.0,1.3483,Draupne
1893.4176,,,130.2148,,238.0451,,,12.2417,1.4415,,1.0951,1.0873,1.1123,,1862.3508,,,,,0.0,1.317,Draupne
1893.57,,,131.3844,,232.9015,,,12.2418,1.4309,,1.1358,1.127,1.1617,,1862.5033,,,,,0.0,1.2742,Draupne
1893.7224,,,132.0163,,230.4826,,,12.2477,1.4283,,1.1136,1.1109,1.1176,,1862.6556,,,,,0.0,1.254,Draupne
1893.8748,,,131.9059,,231.5947,,,12.2446,1.4272,,1.0681,1.0682,1.0797,,1862.8081,,,,,0.0,1.2633,Draupne
1894.0272,,,131.6766,,236.4464,,,12.2423,1.399,,1.0407,1.0353,1.0487,,1862.9604,,,,,0.0,1.3037,Draupne
1894.1796,,,131.9006,,243.6244,,,12.244,1.3633,,1.0171,1.0201,1.0093,,1863.1129,,,,,0.0,1.3635,Draupne
1894.332,,,132.0729,,242.3223,,,12.2408,1.3789,,1.0149,1.0211,1.0102,,1863.2653,,,,,0.0,1.3527,Draupne
1894.4844,,,131.834,,226.6619,,,12.2388,1.3712,,1.1161,1.0921,1.1451,,1863.4177,,,,,0.0,1.2222,Draupne
1894.6368,,,131.1574,,202.9616,,,12.2357,1.3505,,1.3906,1.3041,1.4665,,1863.5701,,,,,0.0,1.0247,Draupne
1894.7892,,,129.9949,,186.6247,,,12.2397,1.3344,,1.639,1.5666,1.7239,,1863.7225,,,,,0.0,0.8885,Draupne
1894.9416,,,129.3125,,190.0932,,,12.2478,1.316,,1.3316,1.3432,1.3687,,1863.8749,,,,,0.0,0.9174,Draupne
1895.094,,,129.4267,,207.248,,,12.2467,1.3085,,1.0789,1.1085,1.083,,1864.0273,,,,,0.0,1.0604,Draupne
1895.2464,,,130.0982,,220.3945,,,12.2412,1.2655,,1.0269,1.0333,1.0243,,1864.1797,,,,,0.0,1.17,Draupne
1895.3988,,,130.7813,,223.2444,,,12.2423,1.2524,,1.0217,0.9838,1.0142,,1864.332,,,,,0.0,1.1937,Draupne
1895.5512,,,131.3637,,223.5919,,,12.248,1.2385,,1.0461,0.9952,1.0578,,1864.4845,,,,,0.0,1.1966,Draupne
1895.7036,,,131.8848,,224.375,,,12.2539,1.2272,,1.0358,1.0024,1.0793,,1864.6368,,,,,0.0,1.2031,Draupne
1895.856,,,131.7972,,222.0951,,,12.2499,1.2191,,1.0037,0.999,1.0562,,1864.7893,,,,,0.0,1.1841,Draupne
1896.0084,,,131.6716,,220.9413,,,12.241,1.2256,,0.9949,0.9829,1.012,,1864.9417,,,,,0.0,1.1745,Draupne
1896.1608,,,130.5605,,224.0298,,,12.2322,1.2207,,0.9974,0.9935,0.998,,1865.0941,,,,,0.0,1.2002,Draupne
1896.3132,,,129.4019,,222.1786,,,12.1923,1.2068,,0.9743,0.9669,0.975,,1865.2465,,,,,0.0,1.1848,Draupne
1896.4656,,,128.6305,,217.8315,,,12.1699,1.1807,,0.9887,0.9783,0.9954,,1865.3989,,,,,0.0,1.1486,Draupne
1896.618,,,128.6176,,219.9997,,,12.1841,1.1866,,1.009,1.0046,1.0161,,1865.5513,,,,,0.0,1.1667,Draupne
1896.7704,,,130.3366,,221.0757,,,13.1931,1.2025,,1.0089,1.0063,1.0125,,1865.7037,,,,,0.0,1.1756,Draupne
1896.9228,,,132.2375,,221.0757,,,13.5879,1.2025,,1.0089,1.0063,1.0125,,1865.8561,,,,,0.0,1.1756,Draupne
1897.0752,12.6928,0.0474,133.0247,,221.0757,,,12.6704,1.2025,,1.0089,1.0063,1.0125,,1866.0085,,,,,0.0,1.1756,Draupne
1897.2276,12.6592,0.0304,133.1064,,221.0757,,,12.5219,1.2025,,1.0089,1.0063,1.0125,,1866.1609,,,,,0.0,1.1756,Draupne
1897.38,12.6816,0.025,132.5307,,221.0757,,,12.5064,1.2025,,1.0089,1.0063,1.0125,,1866.3132,,,,,0.0,1.1756,Draupne
1897.5324,12.6741,0.022,131.3143,,221.0757,,,12.5086,1.2025,,1.0089,1.0063,1.0125,,1866.4657,,,,,0.0,1.1756,Draupne
1897.6848,12.7265,0.0221,130.2183,,221.0757,,,12.5133,1.2025,,1.0089,1.0063,1.0125,,1866.618,,,,,0.0,1.1756,Draupne
1897.8372,12.6966,0.0236,129.5707,,221.0757,,,12.5086,1.2025,,1.0089,1.0063,1.0125,,1866.7705,,,,,0.0,1.1756,Draupne
1897.9896,12.6218,0.0221,128.2704,,221.0757,,,12.4988,1.2025,,1.0089,1.0063,1.0125,,1866.9229,,,,,0.0,1.1756,Draupne
1898.142,12.4199,0.0175,125.7024,,221.0757,,,12.5069,1.2025,,1.0089,1.0063,1.0125,,1867.0753,,,,,0.0,1.1756,Draupne
1898.2944,12.7714,0.0206,126.2806,,221.0757,,,12.5258,1.2025,,1.0089,1.0063,1.0125,,1867.2277,,,,,0.0,1.1756,Draupne
1898.4468,12.8274,0.0338,128.5317,,221.0757,,,12.6486,1.2025,,1.0089,1.0063,1.0125,,1867.3801,,,,,0.0,1.1756,Draupne
1898.5992,13.2762,0.0616,131.3076,,221.0757,,,12.8604,1.2025,,1.0089,1.0063,1.0125,,1867.5325,,,,,0.0,1.1756,Draupne
1898.7516,13.4444,0.0923,134.3411,,221.0757,,,13.2412,1.2025,,1.0089,1.0063,1.0125,,1867.6849,,,,,0.0,1.1756,Draupne
1898.904,15.1944,0.1098,134.702,,221.0757,,,14.7546,1.2025,,1.0089,1.0063,1.0125,,1867.8373,,,,,0.0,1.1756,Draupne
